Name;Stars;URL;Years;Total Pull Requests;Total Releases;Days Since Last Update;Primary Language;Closed Issues;Total Issues;Issues Ratio (Closed/Total)
intro.js;22172;https://github.com/usablica/intro.js;10.5;1181;36;1;TypeScript;744;789;0.9429657794676806
Rectangle;22164;https://github.com/rxhanson/Rectangle;4.21;231;74;-1;Swift;446;538;0.828996282527881
algo;22156;https://github.com/wangzheng0822/algo;4.95;411;0;0;Python;22;124;0.1774193548387097
github1s;22149;https://github.com/conwnet/github1s;4.23;310;40;0;TypeScript;147;202;0.7277227722772277
celery;22132;https://github.com/celery/celery;14.38;3041;43;-1;Python;4339;4911;0.8835267766239056
k9s;22124;https://github.com/derailed/k9s;4.61;725;195;0;Go;1061;1487;0.7135171486213854
SwiftyJSON;22118;https://github.com/SwiftyJSON/SwiftyJSON;9.22;417;21;0;Swift;583;693;0.8412698412698413
javascript-testing-best-practices;22105;https://github.com/goldbergyoni/javascript-testing-best-practices;4.18;190;0;-1;JavaScript;15;62;0.24193548387096775
libuv;22103;https://github.com/libuv/libuv;9.77;2274;7;-1;C;1489;1603;0.9288833437305053
react-starter-kit;22102;https://github.com/kriasoft/react-starter-kit;9.4;849;5;0;TypeScript;1183;1186;0.9974704890387859
locust;22086;https://github.com/locustio/locust;12.56;918;94;-1;Python;1455;1470;0.9897959183673469
headlessui;22043;https://github.com/tailwindlabs/headlessui;2.97;564;88;-1;TypeScript;986;990;0.9959595959595959
AFFiNE;22037;https://github.com/toeverything/AFFiNE;1.1;2646;167;-1;TypeScript;1118;1314;0.8508371385083714
howler.js;22033;https://github.com/goldfire/howler.js;10.61;266;24;0;JavaScript;1044;1358;0.7687776141384389
elixir;22026;https://github.com/elixir-lang/elixir;12.67;7800;138;0;Elixir;5061;5089;0.9944979367262724
pumpkin-book;22017;https://github.com/datawhalechina/pumpkin-book;4.71;59;7;0;N/A;53;69;0.7681159420289855
flow;22013;https://github.com/facebook/flow;8.86;2322;311;0;OCaml;5184;6630;0.7819004524886878
awesome-falsehood;22004;https://github.com/kdeldycke/awesome-falsehood;7.0;132;0;0;N/A;26;28;0.9285714285714286
highlight.js;21986;https://github.com/highlightjs/highlight.js;12.68;1846;36;-1;JavaScript;1897;1981;0.9575971731448764
tokio;21976;https://github.com/tokio-rs/tokio;6.99;3448;105;-1;Rust;1743;2001;0.8710644677661169
jumpserver;21970;https://github.com/jumpserver/jumpserver;9.18;6048;191;0;Python;5154;5403;0.9539144919489173
lux;21966;https://github.com/iawia002/lux;5.53;302;80;0;Go;506;958;0.5281837160751566
polymer;21956;https://github.com/Polymer/polymer;11.04;1446;115;0;HTML;3866;3911;0.9884939913065712
chosen;21955;https://github.com/harvesthq/chosen;12.39;763;34;2;HTML;2125;2375;0.8947368421052632
notable;21917;https://github.com/notable/notable;4.71;74;20;-1;N/A;906;1593;0.568738229755179
react-bootstrap;21910;https://github.com/react-bootstrap/react-bootstrap;9.7;3222;55;-1;TypeScript;3330;3449;0.9654972455784285
flink;21906;https://github.com/apache/flink;9.25;23353;0;0;Java;0;0;0
windows95;21903;https://github.com/felixrieseberg/windows95;5.04;61;14;-1;TypeScript;106;232;0.45689655172413796
vant;21878;https://github.com/youzan/vant;6.39;5061;241;0;TypeScript;6838;6865;0.996067006554989
libgdx;21877;https://github.com/libgdx/libgdx;11.08;3543;10;-1;Java;3423;3641;0.9401263389178797
NLP-progress;21874;https://github.com/sebastianruder/NLP-progress;5.21;537;3;0;Python;65;100;0.65
vuepress;21863;https://github.com/vuejs/vuepress;5.42;1223;22;0;JavaScript;1427;1930;0.7393782383419689
dapr;21836;https://github.com/dapr/dapr;4.22;3594;192;-1;Go;2734;3093;0.8839314581312642
qBittorrent;21813;https://github.com/qbittorrent/qBittorrent;11.59;3992;0;-1;C++;11836;14741;0.8029306017230853
vegeta;21803;https://github.com/tsenart/vegeta;10.07;242;66;-1;Go;344;396;0.8686868686868687
electron-react-boilerplate;21799;https://github.com/electron-react-boilerplate/electron-react-boilerplate;8.31;1593;58;0;TypeScript;1776;1854;0.9579288025889967
awesome-datascience;21787;https://github.com/academic/awesome-datascience;9.18;343;5;-1;N/A;48;48;1.0
iosched;21765;https://github.com/google/iosched;9.44;170;2;-1;Kotlin;187;242;0.7727272727272727
wiki;21758;https://github.com/requarks/wiki;7.06;619;115;0;Vue;2416;2476;0.975767366720517
JARVIS;21752;https://github.com/microsoft/JARVIS;0.44;47;0;-1;Python;99;165;0.6
passport;21752;https://github.com/jaredhanson/passport;11.92;153;0;0;JavaScript;420;754;0.5570291777188329
pytudes;21751;https://github.com/norvig/pytudes;6.52;83;0;-1;Jupyter Notebook;18;35;0.5142857142857142
WaveFunctionCollapse;21748;https://github.com/mxgmn/WaveFunctionCollapse;6.94;33;1;-1;C#;46;49;0.9387755102040817
api-guidelines;21742;https://github.com/microsoft/api-guidelines;7.15;251;0;0;N/A;103;213;0.4835680751173709
scrollreveal;21725;https://github.com/jlmakes/scrollreveal;9.64;54;0;0;JavaScript;452;480;0.9416666666666667
homemade-machine-learning;21717;https://github.com/trekhleb/homemade-machine-learning;4.85;22;0;0;Jupyter Notebook;14;25;0.56
redisson;21709;https://github.com/redisson/redisson;9.66;582;132;-1;Java;4371;4649;0.9402021940202194
